month,region,indicator_name,indicator_value
2024-01,Addis,Immunization Coverage (%),72.8
2024-01,addis ababa,Bed Occupancy Rate (%),51.6
2024-01,Addis Ababa,Antenatal Care Visits,534
2024-01,oromia,Immunization Coverage (%),50.4
2024-01,ORO,Bed Occupancy Rate (%),47.9
2024-01,ORO,Antenatal Care Visits,579
2024-01,amhara,Immunization Coverage (%),82.5
2024-01,AMH,Bed Occupancy Rate (%),57.7
2024-01,Amhara,Antenatal Care Visits,631
2024-01,TIG,Immunization Coverage (%),63.5
2024-01,Tigray,Bed Occupancy Rate (%),49.6
2024-01,tigray,Antenatal Care Visits,883
2024-01,SNNP,Immunization Coverage (%),68.1
2024-01,SNNP,Bed Occupancy Rate (%),45.7
2024-01,snnpr,Antenatal Care Visits,392
2024-01,SOM,Immunization Coverage (%),61.3
2024-01,somali,Bed Occupancy Rate (%),72.9
2024-01,Somali,Antenatal Care Visits,402
2024-02,AA,Immunization Coverage (%),64.3
2024-02,addis ababa,Bed Occupancy Rate (%),91.2
2024-02,addis ababa,Antenatal Care Visits,640
2024-02,oromia,Immunization Coverage (%),97.8
2024-02,ORO,Bed Occupancy Rate (%),61.0
2024-02,oromia,Antenatal Care Visits,572
2024-02,amhara,Immunization Coverage (%),85.7
2024-02,amhara,Bed Occupancy Rate (%),92.5
2024-02,amhara,Antenatal Care Visits,678
2024-02,Tigray,Immunization Coverage (%),67.4
2024-02,TIG,Bed Occupancy Rate (%),91.2
2024-02,tigray,Antenatal Care Visits,877
2024-02,SNNP,Immunization Coverage (%),64.9
2024-02,SNNPR,Bed Occupancy Rate (%),73.7
2024-02,SNNPR,Antenatal Care Visits,131
2024-02,somali,Immunization Coverage (%),60.3
2024-02,somali,Bed Occupancy Rate (%),58.7
2024-02,somali,Antenatal Care Visits,777
2024-03,Addis,Immunization Coverage (%),75.7
2024-03,Addis,Bed Occupancy Rate (%),56.0
2024-03,AA,Antenatal Care Visits,849
2024-03,ORO,Immunization Coverage (%),84.1
